screen_name_binary,name_binary,description_binary,status_binary,verified,followers_count,friends_count,statuses_count,listed_count_binary,bot
True,False,False,True,False,1291,0,78554,True,1
True,False,False,False,False,1,349,31,True,1
True,True,True,True,False,1086,0,713,True,1
True,True,False,False,False,33,0,676,True,1
False,False,True,False,False,11,745,185,True,1
False,False,True,False,False,1,186,11,True,1
False,True,True,False,False,193,0,6068,True,1
False,False,True,False,False,8227,2,2597,True,1
True,True,True,False,False,275,0,9922,True,1
True,False,False,False,False,51,3,2515,True,1
True,True,True,True,False,51,1,111,True,1
True,True,True,False,False,2,1,230,True,1
False,False,False,False,False,0,29,0,True,1
False,False,False,False,False,1,206,0,True,1
False,False,False,False,False,0,38,0,True,1
False,False,False,False,False,109,0,16067,True,1
True,True,True,True,False,250,0,31721,True,1
True,True,False,False,False,15,1941,406,True,1
True,True,True,False,False,190,1899,0,True,1
False,False,True,True,False,181,0,21506,True,1
False,False,True,True,False,10175,11465,65022,True,1
False,False,False,True,False,23,4,6230,True,1
True,True,True,True,False,106126,0,30156,True,1
True,True,True,True,False,2302,3,7640,True,1
True,True,True,True,False,443,2,9584,True,1
True,True,True,True,False,27,1,145,True,1
False,False,False,False,False,191,2,5684,True,1
False,False,False,True,False,1,35,82,True,1
True,True,True,True,False,651,0,19867,True,1
True,True,True,True,False,37,45,191,True,1
True,True,True,False,False,331,56,29989,True,1
False,False,True,False,False,1327,2,24199,True,1
False,False,False,False,False,0,52,0,True,1
False,False,False,False,False,54,0,1585,True,1
True,True,True,True,False,4247,2,109325,True,1
False,False,False,False,False,0,54,18,True,1
True,True,True,True,False,163,2,552492,True,1
True,True,False,True,False,32,1,6181,True,1
True,True,True,True,False,903,1,3654,True,1
True,True,True,True,False,108,10,537,True,1
False,False,False,False,False,190,1,4032,True,1
False,False,False,False,False,675,118,15437,True,1
False,False,False,False,False,1,340,49,True,1
False,False,False,False,False,89,1225,2,True,1
False,False,False,False,False,1076,0,12674,True,1
True,True,False,True,False,399,679,26073,True,1
False,True,True,False,False,394,3537,349,True,1
False,False,False,False,False,4,96,0,True,1
False,False,False,False,False,0,140,12,True,1
False,False,False,False,False,1334,0,59023,True,1
False,False,True,True,False,36,1,510,True,1
False,True,True,True,False,8,1,29,True,1
True,True,True,False,False,1451,1,15020,True,1
False,False,True,True,False,1807,101,125403,True,1
False,False,False,False,False,1,63,1,True,1
False,False,False,False,False,82,49,16728,True,1
False,False,False,False,False,2,20,127,True,1
False,False,True,True,False,0,25,73,True,1
False,False,False,False,False,78,1,4438,True,1
False,False,False,True,False,403,6,12395,True,1
False,False,True,False,True,7324,456,3334,True,1
True,True,True,True,False,68,0,25193,True,1
False,False,True,False,False,108,1,19770,True,1
True,False,False,True,False,120,0,5614,True,1
True,False,True,True,False,0,330,29,True,1
False,False,True,False,False,0,22,100,True,1
False,False,False,False,False,15,19,19,True,1
False,False,False,True,False,23,0,63,True,1
False,False,False,False,False,127,180,12702,True,1
False,False,False,False,False,175986,14914,18839,True,1
False,True,True,True,False,731,1,2576,True,1
True,True,False,True,False,182,0,433,True,1
True,True,True,True,False,123,0,29410,True,1
True,True,True,True,False,1287,1,62797,True,1
False,False,False,False,False,110,1797,4,True,1
False,False,True,False,False,9,0,1412,True,1
False,False,True,True,False,102437,3,13953,True,1
False,False,False,False,False,4,350,6,True,1
False,False,False,True,False,1,44,78,True,1
False,True,True,False,False,281,5,22739,True,1
False,False,False,False,False,104669,5438,7897,True,1
False,False,False,False,False,23472,2,59327,True,1
False,False,False,False,False,43,1,26955,True,1
False,False,False,False,False,11,74,1,True,1
True,False,False,True,False,928,0,71773,True,1
False,False,True,True,False,63,2,2672,True,1
True,False,True,True,False,71,2,644,True,1
True,True,False,False,False,131,2,4499,True,1
True,True,True,False,False,171,4,8808,True,1
False,False,False,False,False,6859,5458,46537,True,1
True,True,True,True,False,3730,21,306026,True,1
False,False,False,False,False,4,244,17,True,1
False,False,False,False,False,277,4887,41,True,1
True,True,False,True,False,31,23,170,True,1
True,True,True,False,False,1078,0,2,True,1
True,True,True,True,False,8,0,123,True,1
False,False,True,False,False,14,3,13752,True,1
False,False,False,False,False,9978,10829,862,True,1
False,False,False,False,False,0,32,93,True,1
False,False,False,True,False,204,1,7491,True,1
True,True,True,True,False,20,9,2311,True,1
False,False,False,True,False,109,153,24,True,1
True,False,False,True,False,539,10,212479,True,1
False,False,False,False,False,227,292,12,True,1
False,True,True,True,False,105,4,1571,True,1
True,True,True,True,False,1022,0,403392,True,1
False,False,False,False,False,33,1526,1,True,1
False,False,False,False,False,4,19,0,True,1
False,False,False,True,False,1,342,43,True,1
False,False,False,False,False,0,310,27,True,1
False,False,False,False,False,1,420,80,True,1
False,False,False,False,False,0,346,28,True,1
False,False,False,False,False,23,0,376,True,1
False,False,False,True,False,254,16,13695,True,1
False,False,True,False,False,20,9,445,True,1
False,False,False,False,False,516,0,4145,True,1
False,False,False,False,False,5,464,88,True,1
False,False,False,True,False,447990,487927,107503,True,1
False,False,False,False,False,1,338,30,True,1
False,False,False,False,False,255,1,12821,True,1
